[2026-09-12 00:14:19 TP0 EP0] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, #swa token: 0, swa token usage: 0.00, accept len: 3.03, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 2.24, #queue-req: 0
[2026-09-12 00:14:23 TP0 EP0] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, #swa token: 256, swa token usage: 0.00, accept len: 2.30, accept rate: 0.26, cuda graph: True, gen throughput (token/s): 71.81, #queue-req: 0
[2026-09-12 00:14:25 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 3.79, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 150.08, #queue-req: 0
[2026-09-12 00:14:29 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 4.80, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 423.46, #queue-req: 0
[2026-09-12 00:14:32 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 2.75, accept rate: 0.35, cuda graph: True, gen throughput (token/s): 237.05, #queue-req: 0
[2026-09-12 00:14:36 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 1.98, accept rate: 0.20, cuda graph: True, gen throughput (token/s): 175.84, #queue-req: 0
[2026-09-12 00:14:39 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 2.13, accept rate: 0.23, cuda graph: True, gen throughput (token/s): 168.22, #queue-req: 0
[2026-09-12 00:14:43 TP0 EP0] Decode batch, #running-req: 7, #full token: 1536, full token usage: 0.00, #swa token: 1536, swa token usage: 0.02, accept len: 2.23, accept rate: 0.25, cuda graph: True, gen throughput (token/s): 199.41, #queue-req: 0
[2026-09-12 00:14:46 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 4.69, accept rate: 0.74, cuda graph: True, gen throughput (token/s): 415.31, #queue-req: 0
[2026-09-12 00:14:50 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 4.55, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 354.02, #queue-req: 0
[2026-09-12 00:14:54 TP0 EP0] Decode batch, #running-req: 8, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 2.94, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 189.77, #queue-req: 0
[2026-09-12 00:14:58 TP0 EP0] Decode batch, #running-req: 3, #full token: 1536, full token usage: 0.00, #swa token: 1536, swa token usage: 0.02, accept len: 2.47, accept rate: 0.29, cuda graph: True, gen throughput (token/s): 186.65, #queue-req: 0
[2026-09-12 00:15:01 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 5.34, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 449.13, #queue-req: 0
[2026-09-12 00:15:05 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 5.34, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 601.54, #queue-req: 0
[2026-09-12 00:15:09 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 4.64, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 616.02, #queue-req: 0
[2026-09-12 00:15:14 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 2.52, accept rate: 0.30, cuda graph: True, gen throughput (token/s): 309.67, #queue-req: 0
[2026-09-12 00:15:19 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 2.00, accept rate: 0.20, cuda graph: True, gen throughput (token/s): 261.68, #queue-req: 0
[2026-09-12 00:15:23 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 2.10, accept rate: 0.22, cuda graph: True, gen throughput (token/s): 215.71, #queue-req: 0
[2026-09-12 00:15:28 TP0 EP0] Decode batch, #running-req: 15, #full token: 2560, full token usage: 0.00, #swa token: 2560, swa token usage: 0.03, accept len: 2.24, accept rate: 0.25, cuda graph: True, gen throughput (token/s): 300.19, #queue-req: 0
[2026-09-12 00:15:32 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 4.54, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 553.92, #queue-req: 0
[2026-09-12 00:15:37 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 4.58, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 570.62, #queue-req: 0
[2026-09-12 00:15:43 TP0 EP0] Decode batch, #running-req: 16, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 3.17, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 309.27, #queue-req: 0
[2026-09-12 00:15:48 TP0 EP0] Decode batch, #running-req: 15, #full token: 6656, full token usage: 0.00, #swa token: 6656, swa token usage: 0.07, accept len: 2.37, accept rate: 0.27, cuda graph: True, gen throughput (token/s): 296.79, #queue-req: 0
[2026-09-12 00:15:52 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 4.99, accept rate: 0.80, cuda graph: True, gen throughput (token/s): 589.70, #queue-req: 0
[2026-09-12 00:15:58 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 5.54, accept rate: 0.91, cuda graph: True, gen throughput (token/s): 772.57, #queue-req: 0
[2026-09-12 00:16:04 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 4.89, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 899.85, #queue-req: 0
[2026-09-12 00:16:10 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 2.84, accept rate: 0.37, cuda graph: True, gen throughput (token/s): 487.43, #queue-req: 0
